City,State,Pop,Size
Rochester ,MN,"100,413",3
Antioch ,CA,"100,219",3
Wilmington ,NC,"100,192",3
Centennial ,CO,"99,680",4
Odessa ,TX,"98,801",4
West Palm Beach ,FL,"98,779",4
Rialto ,CA,"98,700",4
Everett ,WA,"98,212",4
Murrieta ,CA,"97,918",4
Tyler ,TX,"97,705",4
Temecula ,CA,"97,100",4
Kenosha ,WI,"96,950",4
Frisco ,TX,"96,676",4
Sandy ,UT,"96,660",4
South Gate ,CA,"96,640",4
Carlsbad ,CA,"96,374",4
Gary ,IN,"95,920",4
Mission Viejo ,CA,"94,461",4
North Charleston ,SC,"94,407",4
Boulder ,CO,"94,171",4
Compton ,CA,"93,851",4
Hillsboro ,OR,"93,638",4
Albany ,NY,"93,539",4
Fargo ,ND,"93,531",4
Lakeland ,FL,"93,333",4
Orem ,UT,"93,250",4
Brockton ,MA,"93,007",4
Roanoke ,VA,"92,967",4
Broken Arrow ,OK,"92,931",4
Surprise ,AZ,"92,897",4
Macon ,GA,"92,775",4
El Cajon ,CA,"92,718",4
Carson ,CA,"92,366",4
Quincy ,MA,"92,339",4
Clovis ,CA,"92,318",4
San Mateo ,CA,"92,256",4
Vacaville ,CA,"92,219",4
San Angelo ,TX,"91,880",4
Las Cruces ,NM,"91,865",4
Beaverton ,OR,"91,757",4
Greeley ,CO,"91,492",4
New Bedford ,MA,"91,365",4
Livonia ,MI,"91,220",4
Vista ,CA,"91,144",4
Fall River ,MA,"90,931",4
Waukegan ,IL,"90,788",4
Lawrence ,KS,"90,520",4
Davie,FL,"90,238",4
Tuscaloosa ,AL,"90,221",4
Redding ,CA,"90,201",4
Lawton ,OK,"90,091",4
Yuma ,AZ,"90,041",4
Sunrise ,FL,"89,026",4
Westminster ,CA,"88,975",4
Sparks ,NV,"88,602",4
Santa Monica ,CA,"87,664",4
Roswell ,GA,"87,657",4
Lynn ,MA,"86,957",4
Nashua ,NH,"86,576",4
Dearborn ,MI,"86,477",4
Santa Maria ,CA,"86,356",4
Spokane Valley ,WA,"86,144",4
Santa Barbara ,CA,"86,093",4
Alhambra ,CA,"85,953",4
Longmont ,CO,"85,928",4
Hesperia ,CA,"85,883",4
Boca Raton ,FL,"85,670",4
Fort Smith ,AR,"84,716",4
Miami Beach ,FL,"84,633",4
Warwick ,RI,"84,483",4
Indio ,CA,"84,443",4
Citrus Heights ,CA,"84,432",4
Deltona ,FL,"84,408",4
Federal Way ,WA,"84,309",4
Hawthorne ,CA,"84,305",4
Duluth ,MN,"84,284",4
Lee's Summit ,MO,"84,208",4
College Station ,TX,"84,128",4
Yakima ,WA,"84,074",4
Kent ,WA,"83,978",4
Chico ,CA,"83,791",4
Plantation ,FL,"83,628",4
Norwalk ,CT,"83,185",4
Chino ,CA,"83,031",4
Pearland ,TX,"82,903",4
Trenton ,NJ,"82,883",4
Ogden ,UT,"82,865",4
Sioux City ,IA,"82,807",4
Sandy Springs ,GA,"82,674",4
Suffolk ,VA,"82,302",4
Whittier ,CA,"82,267",4
Racine ,WI,"82,196",4
Newton ,MA,"82,139",4
Avondale ,AZ,"81,299",4
Bloomington ,MN,"81,280",4
Allen ,TX,"81,268",4
Sugar Land ,TX,"80,704",4
Reading ,PA,"80,506",4
Cicero,IL,"80,414",4
Nampa ,ID,"80,362",4
Troy ,MI,"80,264",4
Livermore ,CA,"80,188",4
Cranston ,RI,"79,980",4
Newport Beach ,CA,"79,661",4
Rio Rancho ,NM,"79,655",4
Greenville ,NC,"79,629",4
Edmond ,OK,"79,559",4
Champaign ,IL,"79,389",4
Camden ,NJ,"79,383",4
Buena Park ,CA,"79,379",4
Danbury ,CT,"79,256",4
Tracy ,CA,"79,196",4
San Marcos ,CA,"79,114",4
Westland ,MI,"78,961",4
Bellingham ,WA,"78,905",4
Farmington Hills ,MI,"78,522",4
Lakewood ,CA,"78,444",4
Canton ,OH,"78,362",4
Clifton ,NJ,"78,219",4
Parma ,OH,"77,947",4
San Leandro ,CA,"77,880",4
